exp_series;exp_id;person;Box_location;DNA_Box_Label;Sample_describtion;date;biol_rep;prop_life;PMA;DNA_diluted;pma_conc;Ct;tech_duplo;copies_100ml;copies_ml;marker;primers;protocol;standard;PCR_datum;location_cfx_files;well_id;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;5 0% -;20230301;1;0;no_PMA;10;40 uM;22,16;1;1173512,42;11735;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;B5;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;5 0% -;20230301;1;0;no_PMA;10;40 uM;22,21;2;1136094,78;11361;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;B6;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;5 1% -;20230301;1;1;no_PMA;10;40 uM;22,28;1;1078779,16;10788;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;B7;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;5 1% -;20230301;1;1;no_PMA;10;40 uM;22,33;2;1045609,79;10456;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;B8;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;5 10% -;20230301;1;10;no_PMA;10;40 uM;21,86;1;1447484,58;14475;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;B9;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;5 10% -;20230301;1;10;no_PMA;10;40 uM;21,88;2;1426652,51;14267;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;B10;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;5 100% -;20230301;1;100;no_PMA;10;40 uM;20,78;1;2336941,64;23369;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;E1;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;5 100% -;20230301;1;100;no_PMA;10;40 uM;25,19;2;2804073,57;28041;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;B12;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;5 0% +;20230301;1;0;PMA;10;40 uM;25,14;1;150044,38;1500;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;C1;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;5 0% +;20230301;1;0;PMA;10;40 uM;25,00;2;98721,00;987;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;E2;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;5 1% +;20230301;1;1;PMA;10;40 uM;25,49;1;117916,80;1179;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;C3;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;5 1% +;20230301;1;1;PMA;10;40 uM;25,40;2;126033,16;1260;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;C4;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;5 10% +;20230301;1;10;PMA;10;40 uM;24,45;1;148805,13;1488;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;E3;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;5 10% +;20230301;1;10;PMA;10;40 uM;24,52;2;140724,28;1407;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;E4;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;5 100% +;20230301;1;100;PMA;10;40 uM;21,19;1;2291766,86;22918;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;C7;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;5 100% +;20230301;1;100;PMA;10;40 uM;21,24;2;2222867,83;22229;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;C8;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;6 0% -;20230302;2;0;no_PMA;10;40 uM;22,31;1;1061616,71;10616;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;C9;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;6 0% -;20230302;2;0;no_PMA;10;40 uM;21,98;2;948264,69;9483;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;E5;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;6 1% -;20230302;2;1;no_PMA;10;40 uM;22,34;1;1037433,20;10374;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;C11;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;6 1% -;20230302;2;1;no_PMA;10;40 uM;22,95;2;681712,03;6817;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;C12;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;6 10% -;20230302;2;10;no_PMA;10;40 uM;25,79;1;1683876,56;16839;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;D1;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;6 10% -;20230302;2;10;no_PMA;10;40 uM;22,01;2;1306895,30;13069;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;D2;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;6 100% -;20230302;2;100;no_PMA;10;40 uM;22,51;1;1219185,62;12192;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;D3;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;6 100% -;20230302;2;100;no_PMA;10;40 uM;23,20;2;1142973,41;11430;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;D4;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;6 0% +;20230302;2;0;PMA;10;40 uM;24,07;1;315343,54;3153;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;D5;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;6 0% +;20230302;2;0;PMA;10;40 uM;24,01;2;328273,46;3283;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;D6;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;6 1% +;20230302;2;1;PMA;10;40 uM;26,09;1;78413,39;784;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;D7;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;6 1% +;20230302;2;1;PMA;10;40 uM;26,13;2;76238,26;762;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;D8;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;6 10% +;20230302;2;10;PMA;10;40 uM;24,59;1;219292,70;2193;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;D9;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;6 10% +;20230302;2;10;PMA;10;40 uM;24,38;2;254446,74;2544;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;D10;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;6 100% +;20230302;2;100;PMA;10;40 uM;21,53;1;1817251,83;18173;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;D11;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;6 100% +;20230302;2;100;PMA;10;40 uM;21,68;2;1634179,68;16342;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;D12;;;
Cell_density_effect;E.coli_low;Nick_Middelbos;9;NMID/ELLY PMA experiment e. coli 10^7 and 10^5;7 0% -;20230316;3;0;no_PMA;10;40 uM;22,43;1;972159,16;9722;16S;338F_518R;standaard;QST006;;L:/NMID/(q)PCR/;E1;;;
