;Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting Quantity (SQ);Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
;A01;SYBR;;Std-1;;;28,96;29,28;0,450;10,00000;1,000;10,00000;0,00000;72,0;
;A02;SYBR;;Std-1;;;29,60;29,28;0,450;10,00000;1,000;10,00000;0,00000;72,0;
;A03;SYBR;;Std-2;;;28,18;28,21;0,050;100,00000;2,000;100,00000;0,00000;72,0;
;A04;SYBR;;Std-2;;;28,25;28,21;0,050;100,00000;2,000;100,00000;0,00000;72,0;
;A05;SYBR;;Std-3;;;26,44;26,35;0,126;1000,00000;3,000;1000,00000;0,00000;72,0;
;A06;SYBR;;Std-3;;;26,26;26,35;0,126;1000,00000;3,000;1000,00000;0,00000;72,0;
;A07;SYBR;;Std-4;;;22,64;22,82;0,250;10000,00000;4,000;10000,00000;0,00000;72,0;
;A08;SYBR;;Std-4;;;23,00;22,82;0,250;10000,00000;4,000;10000,00000;0,00000;72,0;
;A09;SYBR;;Std-5;;;19,39;19,41;0,030;100000,00000;5,000;100000,00000;0,00000;72,0;
;A10;SYBR;;Std-5;;;19,43;19,41;0,030;100000,00000;5,000;100000,00000;0,00000;72,0;
;A11;SYBR;;Std-6;;;16,04;16,07;0,041;1000000,00000;6,000;1000000,00000;0,00000;72,0;
;A12;SYBR;;Std-6;;;16,09;16,07;0,041;1000000,00000;6,000;1000000,00000;0,00000;72,0;
;B01;SYBR;;Std-7;;;12,23;11,84;0,559;10000000,00000;7,000;10000000,00000;0,00000;72,0;
;B02;SYBR;;Std-7;;;11,44;11,84;0,559;10000000,00000;7,000;10000000,00000;0,00000;72,0;
;B03;SYBR;;Std-8;;;9,20;9,08;0,168;100000000,00000;8,000;100000000,00000;0,00000;72,0;
;B04;SYBR;;Std-8;;;8,96;9,08;0,168;100000000,00000;8,000;100000000,00000;0,00000;72,0;
;B05;SYBR;;Unkn;;;21,59;21,59;0,000;12729,16013;4,105;12729,16013;0,00000;72,0;
;B06;SYBR;;Unkn;;;21,68;21,68;0,000;11953,11087;4,077;11953,11087;0,00000;72,0;
;B07;SYBR;;Unkn;;;22,02;22,02;0,000;9245,12960;3,966;9245,12960;0,00000;72,0;
;B08;SYBR;;Unkn;;;21,65;21,65;0,000;12227,46691;4,087;12227,46691;0,00000;72,0;
;B09;SYBR;;NTC;;;28,51;28,51;0,000;;;;0,00000;72,0;
;B10;SYBR;;NTC;;;28,47;28,47;0,000;;;;0,00000;72,0;
;B11;SYBR;;NTC;;;30,68;30,68;0,000;;;;0,00000;72,0;
;B12;SYBR;;NTC;;;31,06;31,06;0,000;;;;0,00000;72,0;
;C01;SYBR;;NTC;;;27,91;27,91;0,000;;;;0,00000;72,0;
;C02;SYBR;;NTC;;;28,76;28,76;0,000;;;;0,00000;72,0;
;C03;SYBR;;NTC;;;30,36;30,36;0,000;;;;0,00000;72,0;
;C04;SYBR;;NTC;;;30,24;30,24;0,000;;;;0,00000;72,0;
;E01;SYBR;;Unkn;;;20,78;20,78;0,000;23369,41636;4,369;23369,41636;0,00000;72,0;
;E02;SYBR;;Unkn;;;25,00;25,00;0,000;987,21004;2,994;987,21004;0,00000;72,0;
;E03;SYBR;;Unkn;;;24,45;24,45;0,000;1488,05133;3,173;1488,05133;0,00000;72,0;
;E04;SYBR;;Unkn;;;24,52;24,52;0,000;1407,24281;3,148;1407,24281;0,00000;72,0;
;E05;SYBR;;Unkn;;;21,98;21,98;0,000;9482,64685;3,977;9482,64685;0,00000;72,0;
;E06;SYBR;;Unkn;;;22,16;22,16;0,000;8324,32279;3,920;8324,32279;0,00000;72,0;
;E07;SYBR;;Unkn;;;;0,00;0,000;;;0,00000;0,00000;72,0;
