;Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting Quantity (SQ);Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
;A01;SYBR;;Std-01;;;29,76;30,29;0,742;10,00000;1,000;10,00000;0,00000;72,0;
;A02;SYBR;;Std-01;;;30,81;30,29;0,742;10,00000;1,000;10,00000;0,00000;72,0;
;A03;SYBR;;Std-02;;;29,41;29,50;0,118;100,00000;2,000;100,00000;0,00000;72,0;
;A04;SYBR;;Std-02;;;29,58;29,50;0,118;100,00000;2,000;100,00000;0,00000;72,0;
;A05;SYBR;;Std-03;;;26,46;26,34;0,169;1000,00000;3,000;1000,00000;0,00000;72,0;
;A06;SYBR;;Std-03;;;26,22;26,34;0,169;1000,00000;3,000;1000,00000;0,00000;72,0;
;A07;SYBR;;Std-04;;;23,08;23,10;0,031;10000,00000;4,000;10000,00000;0,00000;72,0;
;A08;SYBR;;Std-04;;;23,12;23,10;0,031;10000,00000;4,000;10000,00000;0,00000;72,0;
;A09;SYBR;;Std-05;;;19,86;19,96;0,149;100000,00000;5,000;100000,00000;0,00000;72,0;
;A10;SYBR;;Std-05;;;20,07;19,96;0,149;100000,00000;5,000;100000,00000;0,00000;72,0;
;A11;SYBR;;Std-06;;;16,08;16,09;0,021;1000000,00000;6,000;1000000,00000;0,00000;72,0;
;A12;SYBR;;Std-06;;;16,11;16,09;0,021;1000000,00000;6,000;1000000,00000;0,00000;72,0;
;B01;SYBR;;Std-07;;;11,19;11,24;0,073;10000000,00000;7,000;10000000,00000;0,00000;72,0;
;B02;SYBR;;Std-07;;;11,29;11,24;0,073;10000000,00000;7,000;10000000,00000;0,00000;72,0;
;B03;SYBR;;Std-08;;;8,01;8,05;0,056;100000000,00000;8,000;100000000,00000;0,00000;72,0;
;B04;SYBR;;Std-08;;;8,09;8,05;0,056;100000000,00000;8,000;100000000,00000;0,00000;72,0;
;B05;SYBR;;Unkn-01;;;14,65;14,67;0,023;1865979,21500;6,271;1845512,40828;28944,43563;72,0;
;B06;SYBR;;Unkn-01;;;14,68;14,67;0,023;1825045,60157;6,261;1845512,40828;28944,43563;72,0;
;B07;SYBR;;Unkn-02;;;14,67;15,23;0,790;1847854,71677;6,267;1352007,06442;701234,47482;72,0;
;B08;SYBR;;Unkn-02;;;15,78;15,23;0,790;856159,41207;5,933;1352007,06442;701234,47482;72,0;
;B09;SYBR;;Unkn-03;;;14,79;14,75;0,049;1701797,44271;6,231;1743736,57178;59310,88512;72,0;
;B10;SYBR;;Unkn-03;;;14,72;14,75;0,049;1785675,70085;6,252;1743736,57178;59310,88512;72,0;
;B11;SYBR;;Unkn-04;;;15,59;15,88;0,404;976526,80762;5,990;817520,29175;224869,17125;72,0;
;B12;SYBR;;Unkn-04;;;16,16;15,88;0,404;658513,77588;5,819;817520,29175;224869,17125;72,0;
;C01;SYBR;;Unkn-05;;;20,11;20,14;0,045;43609,02613;4,640;42667,53422;1331,47063;72,0;
;C02;SYBR;;Unkn-05;;;20,17;20,14;0,045;41726,04231;4,620;42667,53422;1331,47063;72,0;
;C03;SYBR;;Unkn-06;;;20,61;20,77;0,222;30783,87859;4,488;27785,82258;4239,89147;72,0;
;C04;SYBR;;Unkn-06;;;20,93;20,77;0,222;24787,76657;4,394;27785,82258;4239,89147;72,0;
;C05;SYBR;;Unkn-07;;;18,32;18,85;0,744;149022,19363;5,173;110592,35132;54348,00419;72,0;
;C06;SYBR;;Unkn-07;;;19,37;18,85;0,744;72162,50901;4,858;110592,35132;54348,00419;72,0;
;C07;SYBR;;Unkn-08;;;14,63;14,55;0,120;1892046,99841;6,277;2009190,72847;165666,25180;72,0;
;C08;SYBR;;Unkn-08;;;14,46;14,55;0,120;2126334,45853;6,328;2009190,72847;165666,25180;72,0;
;C09;SYBR;;Unkn-09;;;15,10;14,89;0,296;1375071,48441;6,138;1604900,09435;325026,73720;72,0;
;C10;SYBR;;Unkn-09;;;14,68;14,89;0,296;1834728,70429;6,264;1604900,09435;325026,73720;72,0;
;C11;SYBR;;Unkn-10;;;14,71;15,33;0,876;1792477,69812;6,253;1278170,59569;727340,07948;72,0;
;C12;SYBR;;Unkn-10;;;15,95;15,33;0,876;763863,49326;5,883;1278170,59569;727340,07948;72,0;
;D01;SYBR;;Unkn-11;;;15,90;15,34;0,796;787843,16640;5,896;1249470,12998;652839,11266;72,0;
;D02;SYBR;;Unkn-11;;;14,78;15,34;0,796;1711097,09356;6,233;1249470,12998;652839,11266;72,0;
;D03;SYBR;;Unkn-12;;;15,33;16,02;0,976;1166832,09094;6,067;808841,34300;506275,37094;72,0;
;D04;SYBR;;Unkn-12;;;16,71;16,02;0,976;450850,59506;5,654;808841,34300;506275,37094;72,0;
;D05;SYBR;;Unkn-13;;;20,78;20,84;0,083;27332,22207;4,437;26270,75791;1501,13701;72,0;
;D06;SYBR;;Unkn-13;;;20,90;20,84;0,083;25209,29376;4,402;26270,75791;1501,13701;72,0;
;D07;SYBR;;Unkn-14;;;18,69;20,69;2,823;115509,80179;5,063;61445,72107;76458,15619;72,0;
;D08;SYBR;;Unkn-14;;;22,68;20,69;2,823;7381,64036;3,868;61445,72107;76458,15619;72,0;
;D09;SYBR;;Unkn-15;;;18,45;20,47;2,863;136697,73126;5,136;72547,94443;90721,49856;72,0;
;D10;SYBR;;Unkn-15;;;22,50;20,47;2,863;8398,15759;3,924;72547,94443;90721,49856;72,0;
