Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting Quantity (SQ);Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
A01;SYBR;;Std-01;;;29,76;30,29;0,742;10;1;10;0;72;
A02;SYBR;;Std-01;;;30,81;30,29;0,742;10;1;10;0;72;
A03;SYBR;;Std-02;;;29,41;29,5;0,118;100;2;100;0;72;
A04;SYBR;;Std-02;;;29,58;29,5;0,118;100;2;100;0;72;
A05;SYBR;;Std-03;;;26,46;26,34;0,169;1000;3;1000;0;72;
A06;SYBR;;Std-03;;;26,22;26,34;0,169;1000;3;1000;0;72;
A07;SYBR;;Std-04;;;23,08;23,1;0,031;10000;4;10000;0;72;
A08;SYBR;;Std-04;;;23,12;23,1;0,031;10000;4;10000;0;72;
A09;SYBR;;Std-05;;;19,86;19,96;0,149;100000;5;100000;0;72;
A10;SYBR;;Std-05;;;20,07;19,96;0,149;100000;5;100000;0;72;
A11;SYBR;;Std-06;;;16,08;16,09;0,021;1000000;6;1000000;0;72;
A12;SYBR;;Std-06;;;16,11;16,09;0,021;1000000;6;1000000;0;72;
B01;SYBR;;Std-07;;;11,19;11,24;0,073;10000000;7;10000000;0;72;
B02;SYBR;;Std-07;;;11,29;11,24;0,073;10000000;7;10000000;0;72;
B03;SYBR;;Std-08;;;8,01;8,05;0,056;100000000;8;100000000;0;72;
B04;SYBR;;Std-08;;;8,09;8,05;0,056;100000000;8;100000000;0;72;
B05;SYBR;;Unkn-01;;;14,65;14,67;0,023;1865979,215;6,271;1845512,408;28944,43563;72;
B06;SYBR;;Unkn-01;;;14,68;14,67;0,023;1825045,602;6,261;1845512,408;28944,43563;72;
B07;SYBR;;Unkn-02;;;14,67;15,23;0,79;1847854,717;6,267;1352007,064;701234,4748;72;
B08;SYBR;;Unkn-02;;;15,78;15,23;0,79;856159,4121;5,933;1352007,064;701234,4748;72;
B09;SYBR;;Unkn-03;;;14,79;14,75;0,049;1701797,443;6,231;1743736,572;59310,88512;72;
B10;SYBR;;Unkn-03;;;14,72;14,75;0,049;1785675,701;6,252;1743736,572;59310,88512;72;
B11;SYBR;;Unkn-04;;;15,59;15,88;0,404;976526,8076;5,99;817520,2918;224869,1713;72;
